Lake,Year,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,Hesp.arct,Lept.tyrr,Macr.albi,Mean.total,Group
Bighorn,2006,0.005023748,0,1.86766E-05,0.014981155,29.29140703,0,0,0,9.025472949,0,0,38.33690356,c
Harrison,2006,0,0,0,12.46254447,0,47.56518612,0.520959013,0,0,0,0,60.5486896,
Pipit,2006,0,0,5.16065E-05,0.001422519,6.282018235,0,0,0,17.79916844,0.001203177,0,24.08386398,c
Snowflake,2006,0.00100475,0,7.24993E-05,0.027126139,8.885962796,0,0,0,52.60202342,4.840162832,0,66.35635244,c
Pipit,2007,0.000251315,0,0,0,5.047879805,0,0,0,5.114486542,0,0,10.16261766,c
Snowflake,2007,0,0,0,0,3.547973857,0,0.29122315,0,37.48962532,5.129854012,0,46.45867634,c
Pipit,2008,0,0,0,0,8.425251363,0,0,0,26.41101644,0,0,34.8362678,c
Snowflake,2008,0,0,0,0,6.534924348,0,0,0,44.04437784,8.091371904,0,58.6706741,c
Bighorn,2009,0,0,0,0,2.878723429,0,0,0,3.614642009,0,0,6.493365438,c
Harrison,2009,0,0,0,13.86204686,0,25.34111193,1.375331794,0,0,0,0,40.57849058,
Pipit,2009,0,0,0,0.003582162,0.274164136,0,0,0,4.40043375,0,0,4.678180048,c
Snowflake,2009,0,0,0,0.00121687,4.910960429,0,0.028658323,0,80.19020551,2.6352041,0,87.76624523,c
Bighorn,2013,0.000717678,0,0,0,4.344064602,0,0,0,0.426880477,0,0,4.771662758,c
Pipit,2013,0,0,0,0,0.394019465,0,0,0,3.869780694,0,0,4.263800159,c
Snowflake,2013,0,0,0,0,4.822798253,0,0,0,57.73050264,0,0,62.5533009,c
