Lake,Year,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,Hesp.arct,Lept.tyrr,Macr.albi,Mean.total
Opabin,2006,0,0,0,0,0,0,0,0,14.23656658,0,0,14.23656658
Opabin,2007,0,0,0.000103265,0.001707888,0,0,0,0,73.30684939,0,0,73.30866055
Opabin,2008,0,0,4.45919E-05,0,0.028222519,0,0,0,59.37295379,0,0,59.4012209
Opabin,2009,0,0,0.000130737,0.010811142,2.6805098,0,0,0,54.48060747,0,0,57.17205915
Opabin,2010,0,0,0,0,0.24835817,0,0,0,75.66088018,0,0,75.90923835
Opabin,2011,0,0,0,0,0,0,0,0,42.54792056,0,0,42.54792056
Opabin,2012,0,0,0,0.000737497,0.028222519,0,0,0,48.43668219,0,0,48.46564221
Opabin,2013,0,0,0,0,0.620895425,0,0,0,363.0324477,0,0,363.6533431
Oesa,2006,0,0,0,0,0,0,0,0,51.25163967,0,0,51.25163967
Oesa,2007,0,0,0,0,0.088878161,0,0,0,39.51795578,0,0,39.60683394
Oesa,2008,0,0,0.000341225,0,0.043910172,0,0,0,277.3428156,0,0,277.387067
Oesa,2009,0,0,0,0,0.136573402,0,0,0,147.6421589,0,0,147.7787323
Oesa,2010,0,0,0,0,0.399982952,0,0,0,149.5215403,0,0,149.9215232
Oesa,2011,0,0,0,0,0,0,0,0,487.7194737,0,0,487.7194737
Oesa,2012,0,0,0,0,0.032678707,0,0,0,34.48887138,0,0,34.52155009
Oesa,2013,0,0,0,0,3.563032386,0,0,0,385.6451008,0,0,389.2081332
Eiffel,1975,0,0,0.000346546,0,2.193313089,0,0,0,71.16130007,0,0,73.35495971
Eiffel,2007,0,0,0,0,0.289095933,0,0,0,47.54978226,0,0,47.83887819
Eiffel,2008,0,0,0,0,8.382088238,0,0,0,335.7160356,0,0,344.0981238
Eiffel,2009,0,0,0,0,4.258646284,0,0,0,121.282242,0,0,125.5408883
Eiffel,2010,0,0,0,0,11.48656536,0,0,0,451.1212034,0,0,462.6077687
Eiffel,2011,0,0,0,0,24.13025402,0,0,0,94.28489773,0,0,118.4151517
Eiffel,2012,0,0,0,0,1.632415059,0,0,0,45.77378775,0,0,47.4062028
Eiffel,2013,0,0,0,0,7.567162992,0,0,0,190.3250994,0,0,197.8922624
Hungabee,2007,0,0,0.000588613,0,146.5856946,0,0,0,377.4101163,0,0,523.9963995
Hungabee,2008,0,0,0,0,21.73133988,0,0,0,144.5011507,0,0,166.2324906
Hungabee,2009,0,0,0.000408552,0,37.85566884,0,0,0,499.9014181,0,0,537.7574955
Hungabee,2010,0,0,0,0,43.82486875,0,0,0,129.7603724,0,0,173.5852412
Hungabee,2011,0,0,0,0,14.80835589,0,0,0,255.4395958,0,0,270.2479517
Hungabee,2012,0,0,0,0,0.99343268,0,0,0,89.37004668,0,0,90.36347936
Hungabee,2013,0,0,0,0,4.449750546,0,0,0,55.75988576,0,0,60.2096363
Sentinel,1975,0,0,0,0,15.13386031,0,0,0,209.7120999,0,0,224.8459602
Sentinel,2007,0.026494627,0,0.000163504,0.002704157,1.41262894,0,0,0,22.23726427,0,0,23.6792555
Sentinel,2009,0.009377418,0,0,0,44.89907961,0,0,0,88.55356896,0,0,133.462026
Sentinel,2010,0,0,0,0,16.36749329,0,0,0,729.3788517,0,0,745.746345
Sentinel,2011,0,0,0,0,13.03880393,0,0,0,417.6652719,0,0,430.7040758
Sentinel,2012,0,0,0,0,1.334925164,0,0,0,293.1664972,0,0,294.5014224
Sentinel,2013,0,0,0,0,40.23402354,0,0,0,489.8802559,0,0,530.1142794
