Lake,Year,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,Hesp.arct,Lept.tyrr,Macr.albi,Mean.Total,Group
Pipit,1966,0,0,0,0,1.370820681,0,0,0,15.71583482,0,0,17.0866555,a
Pipit,1967,0.091551233,0,0,0,0,0,0,0,5.421963013,0,0,5.513514246,a
Pipit,1968,0.055485596,0,0,0,0,0,0,0,0,0,0,0.055485596,a
Pipit,1969,0.155359668,0,0,0,0,0,0,0,0,0,0,0.155359668,a
Pipit,1971,0.033291357,0.00054899,0,0,0,0,0,0,0,0,0,0.033840348,a
Pipit,1972,0.288525097,0,0,0,0,0,0,0,0,0,0,0.288525097,a
Pipit,1977,0.110971191,0,0.000216591,0,0,0,0,0,0,0,0,0.111187782,a
Pipit,1991,0,0,1.72022E-05,0.012055846,0.152423319,0,0,0,10.25490893,0,0,10.4194053,b
Pipit,1992,0,0,0,0.019346255,0.903652536,0,0,0,29.17016595,0,0,30.09316474,c
Pipit,1993,0.000881359,0,0,0.001422519,1.676656513,0,0,0,13.20583465,0,0,14.88479504,c
Pipit,1994,0.002005092,0,0,0.163177125,0.989662838,0,0,0,66.05725748,0,0,67.21210254,c
Pipit,1995,0.001860647,0,0,0.003258861,0.180576544,0,0,0,35.47326587,0,0,35.65896192,c
Pipit,1996,0,0,0,0.108111425,3.284722533,0,0,0,37.0212718,0,0,40.41410576,c
Pipit,1997,0,0,0,0.034709457,0.577031138,0,0,0,14.3541681,0,0,14.96590869,c
Pipit,1998,0.00044068,0,0,0.023044804,4.8884336,0,0,0,14.62876957,0,0,19.54068866,c
Pipit,1999,0,0,0,0.074445148,0.544368998,0,0,0,22.09293698,0,0,22.71175113,c
Pipit,2000,0.000661019,0,0,0.031579916,2.890599378,0,0,0,56.68336162,0,0,59.60620194,c
Pipit,2001,0.002644078,0,0,0.020107721,3.59667799,0,0,0,15.66550028,0,0,19.28493007,c
Pipit,2002,0.001154354,0,0,0.532379209,2.873037474,0,0.126983759,0,31.40134884,0.007059819,0,34.94196345,c
Pipit,2003,0,0,0,0.009026021,5.287352895,0,0.001361984,0,21.13693062,0,0,26.43467152,c
Pipit,2004,0.000678589,0,0,0.052070136,2.395252054,0,0,0,33.9067722,0,0,36.35477298,c
Pipit,2005,0,0,2.88389E-05,0.003002351,6.616004626,0,0,0,9.253922917,0.007219063,0,15.8801778,c
Pipit,2006,0,0,5.16065E-05,0.001422519,6.282018235,0,0,0,17.79916844,0.001203177,0,24.08386398,c
Pipit,2007,0.000251315,0,0,0,5.047879805,0,0,0,5.114486542,0,0,10.16261766,c
Pipit,2008,0,0,0,0,8.425251363,0,0,0,26.41101644,0,0,34.8362678,c
Pipit,2009,0,0,0,0.003582162,0.274164136,0,0,0,4.40043375,0,0,4.678180048,c
Pipit,2013,0,0,0,0,0.394019465,0,0,0,3.869780694,0,0,4.263800159,c
