Lake,Year,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,Hesp.arct,Lept.tyrr,Macr.albi,Mean.Total,Group
Snowflake,1966,0,0,0,0,0,0.007153585,0,0,0.186075484,2.335851402,0,2.529080471,a
Snowflake,1967,0.014568526,0,0,0.008229788,0,0.029806604,0,0,15.47405275,2.709746731,0,18.2364044,a
Snowflake,1968,0.102890212,0,0,0.078182989,0,0.023845283,0,0,16.47986618,3.065245614,0,19.75003027,a
Snowflake,1969,0.103800745,0,4.33182E-05,0.1105143,0,0,0,0,20.70944059,3.816019479,0,24.73981844,a
Snowflake,1970,0.927832975,0,0.00145838,0.586156385,0,0,0.055394003,0,15.55142301,3.898057683,0,21.02032244,a
Snowflake,1971,1.887534599,0,0,3.458391449,0,0,0.672281768,0,79.15945109,1.46829756,0,86.64595646,a
Snowflake,1972,0.031071934,0.000292795,0,0,0,0,163.0708184,0,0,2.157231859,0,165.259415,a
Snowflake,1973,0.004438848,0,0,0,0,0,201.1840958,0,0,1.448253972,0,202.6367887,a
Snowflake,1974,0,0,0,0,0,0,92.34337725,0,0,1.042258089,0,93.38563533,a
Snowflake,1975,0,0.002635153,0.000346546,0,0,0.214607546,171.9946035,0,0,0.872588168,0,173.0847809,a
Snowflake,1977,0,0.000878384,0.000346546,0,0,0.071535849,22.61019552,0,0,0.169669921,0,22.85262622,a
Snowflake,1978,0,0,0,0,0,17.52628291,1.227480756,0,0,0,0,18.75376366,a
Snowflake,1979,0,0,0,0,0,0,1.65709902,0,0,0.025935259,0,1.68303428,a
Snowflake,1991,0,0,0,5.247538464,0,16.02305085,9.071409521,0,0,0.020686638,0,30.36268548,b
Snowflake,1992,0.030553966,0,0,5.749563469,0,3.445270979,8.139971639,0,0,0.003896654,0,17.36925671,c
Snowflake,1993,0.001691481,0,0,0.569916682,0,3.375006613,6.247264272,0,0.111393552,0.002309105,0,10.30758171,c
Snowflake,1994,0.066222147,0,0,1.96535559,1.472468995,2.728328674,7.58098154,0,0.420816933,0,0,14.23417388,c
Snowflake,1995,0.002330395,0,0,2.858565533,1.052790283,0.596430138,4.682225342,0,2.363661557,0,0,11.55600325,c
Snowflake,1996,0.011703049,0,0,0.619091473,2.210818592,0,0.001578664,0,19.70279779,0.001948327,0,22.54793789,c
Snowflake,1997,0.009704967,0,0,0.066709663,0.846246351,0,0,0,22.31420677,0.001558661,0,23.23842641,c
Snowflake,1998,0.00057088,0,2.22846E-05,0.369298798,3.878629109,0,0,0,18.72453003,0.051435822,0,23.02448692,c
Snowflake,1999,0,0.000376564,0,0.094658923,3.279204611,0,0,0,46.46098124,1.938195303,0,51.77341664,c
Snowflake,2000,0.005814523,0,0,0.024529827,1.9424488,0,0,0,47.44733386,0.687369625,0,50.10749663,c
Snowflake,2001,0.006393861,0,0,0.160987739,4.983450734,0,0.027784481,0,46.71107283,4.638991616,0,56.52868126,c
Snowflake,2002,0.006613079,0,0,0.71100625,6.49072205,0,0.000505172,0,123.3280408,10.47065699,0,141.0075444,c
Snowflake,2003,0.026514225,0,0.000217894,0.078681092,5.017509538,0,0.00205811,0,34.35860829,3.073449134,0,42.55703829,c
Snowflake,2004,0.00100475,0,0,0.038920113,3.57764749,0,0,0,53.02566995,3.129012522,0,59.77225483,c
Snowflake,2005,0.005708804,0,7.42821E-05,0.221137005,4.997032466,0,0.084195396,0,68.40747671,5.69315465,0,79.40877931,c
Snowflake,2006,0.00100475,0,7.24993E-05,0.027126139,8.885962796,0,0,0,52.60202342,4.840162832,0,66.35635244,c
Snowflake,2007,0,0,0,0,3.547973857,0,0.29122315,0,37.48962532,5.129854012,0,46.45867634,c
Snowflake,2008,0,0,0,0,6.534924348,0,0,0,44.04437784,8.091371904,0,58.6706741,c
Snowflake,2009,0,0,0,0.00121687,4.910960429,0,0.028658323,0,80.19020551,2.6352041,0,87.76624523,c
Snowflake,2013,0,0,0,0,4.822798253,0,0,0,57.73050264,0,0,62.5533009,c
